C, 00, 00, 0, 0, 0, 0,  0.0710077,  0.0026035,  0.0002327,  0.0011601,  0.0010509, -0.0053339, -0.0010247, -0.0032001
C, 00, 00, 0, 0, 0, 0,  0.0710149,  0.0026078,  0.0002284,  0.0011625,  0.0010543, -0.0053287, -0.0010204, -0.0032010
C, 00, 00, 0, 0, 0, 0,  0.0710979,  0.0025983,  0.0002255,  0.0011597,  0.0010500, -0.0053315, -0.0010123, -0.0031915
C, 00, 00, 0, 0, 0, 0,  0.0711260,  0.0026059,  0.0002341,  0.0011668,  0.0010552, -0.0053363, -0.0010223, -0.0031924
C, 00, 00, 0, 0, 0, 0,  0.0710597,  0.0026097,  0.0002327,  0.0011673,  0.0010529, -0.0053320, -0.0010233, -0.0031886
C, 00, 00, 0, 0, 0, 0,  0.0710559,  0.0026026,  0.0002308,  0.0011640,  0.0010514, -0.0053287, -0.0010195, -0.0031953
C, 00, 00, 0, 0, 0, 0,  0.0711336,  0.0026059,  0.0002403,  0.0011601,  0.0010486, -0.0053272, -0.0010138, -0.0032020
C, 00, 00, 0, 0, 0, 0,  0.0711527,  0.0026040,  0.0002394,  0.0011554,  0.0010548, -0.0053282, -0.0010114, -0.0031972
C, 00, 00, 0, 0, 0, 0,  0.0711269,  0.0026002,  0.0002422,  0.0011535,  0.0010490, -0.0053320, -0.0010114, -0.0031939
C, 00, 00, 0, 0, 0, 0,  0.0711112,  0.0026031,  0.0002384,  0.0011482,  0.0010471, -0.0053315, -0.0010128, -0.0031958
C, 00, 00, 0, 0, 0, 0,  0.0711613,  0.0026016,  0.0002360,  0.0011516,  0.0010509, -0.0053282, -0.0010161, -0.0032034
C, 00, 00, 0, 0, 0, 0,  0.0711742,  0.0026002,  0.0002346,  0.0011482,  0.0010557, -0.0053244, -0.0010190, -0.0032005
C, 00, 00, 0, 0, 0, 0,  0.0711331,  0.0025983,  0.0002341,  0.0011506,  0.0010519, -0.0053282, -0.0010209, -0.0032043
C, 00, 00, 0, 0, 0, 0,  0.0711136,  0.0026026,  0.0002346,  0.0011568,  0.0010467, -0.0053296, -0.0010200, -0.0031996
C, 00, 00, 0, 0, 0, 0,  0.0711675,  0.0026050,  0.0002327,  0.0011573,  0.0010533, -0.0053306, -0.0010200, -0.0032034
C, 00, 00, 0, 0, 0, 0,  0.0711913,  0.0026016,  0.0002294,  0.0011568,  0.0010486, -0.0053306, -0.0010152, -0.0032024
C, 00, 00, 0, 0, 0, 0,  0.0711413,  0.0025911,  0.0002308,  0.0011520,  0.0010562, -0.0053310, -0.0010071, -0.0031977
C, 00, 00, 0, 0, 0, 0,  0.0710826,  0.0025983,  0.0002308,  0.0011511,  0.0010514, -0.0053234, -0.0010090, -0.0032015
